2.500	47.266	0.464	46.788	0.466
5.000	50.542	0.429	49.924	0.434
7.500	52.087	0.393	51.226	0.399
10.000	53.364	0.383	52.635	0.391
12.500	53.603	0.379	53.395	0.389
15.000	54.349	0.390	53.647	0.401
17.500	54.962	0.366	53.672	0.383
20.000	55.673	0.361	54.436	0.375
22.500	56.955	0.349	55.482	0.370
25.000	57.690	0.357	55.787	0.372
27.500	58.017	0.345	55.833	0.365
30.000	58.576	0.353	55.825	0.370
32.500	59.054	0.350	56.345	0.372
35.000	59.585	0.344	55.609	0.361
37.500	58.343	0.338	56.479	0.360
40.000	59.573	0.335	56.024	0.356
42.500	60.139	0.328	57.145	0.357
45.000	60.506	0.336	56.847	0.363
47.500	60.279	0.326	57.376	0.356
50.000	60.728	0.329	57.288	0.359
52.500	61.445	0.331	56.563	0.355
55.000	61.614	0.325	57.412	0.355
57.500	60.774	0.329	56.762	0.358
60.000	61.305	0.330	57.041	0.357
62.500	61.346	0.323	57.332	0.358
65.000	61.544	0.326	57.529	0.357
67.500	62.115	0.324	57.166	0.355
70.000	62.197	0.324	56.807	0.356
72.500	61.853	0.326	57.173	0.360
75.000	61.777	0.326	57.441	0.355
77.500	61.987	0.327	57.060	0.355
80.000	61.841	0.324	57.211	0.359
82.500	62.436	0.323	57.182	0.355
85.000	61.451	0.322	57.945	0.351
87.500	62.920	0.326	57.152	0.359
90.000	62.652	0.323	56.929	0.356
92.500	62.640	0.318	57.790	0.357
95.000	63.071	0.320	57.516	0.354
97.500	61.940	0.322	57.073	0.353
100.000	62.663	0.325	57.279	0.351
